,bak,en
1803,"Арағыҙҙа Криштиану Роналду исемле футбол йондоҙон белеүселәр барҙыр, моғайын.","Most probably, there those among you who know Cristiano Ronaldo, the football star."
1804,"Алдаҡсы булһаң, һиңә кем ышана?","If you are a liar, who will believe you?"
1806,"Мине кемгә hанайҙар икән, минең өсөн барыбер.",I dont care who they take me for.
1807,Мостай Кәримдең әҫәрҙәре бер нисә тиҫтә телдәргә тәржемә ителгән.,[[:w:Mustai Karim|Mustai Karim]]s works have been translated into several dozens of languages.
1808,"Һирәк хәл: булған өлгөгә оҡшатып яҙылған әҫәр тәүсығанағына ҡарағанда киңерәк, көслөрәк булып сыҡты.",A rare case: a piece of work written in imitation of a model turned out to be deeper and stronger as compared to its original model.
1809,Тик бәхәстә генә хәҡиҡәт тыуа.,"Only in a dispute, truth is born."
1810,Иҫтәлеккә тик өсмөйөш һалдат хаттары ғына ҡалды.,Only the soldiers triangle letters (=wartime blue-envelope mail) have remained as a keepsake.
1811,Башҡорт Википедияһы ирекмәндәре Европа вики-яҙында ҡатнаша.,The volunteers of the Bashkir Wikipedia participate in Europes Wiki-Spring (contest).
1812,Ирекмәндәрһеҙ ҡыйынға тура килер ине.,"Without the volunteers, somebody (subjected omitted) would have had a hard time."
1813,Мул иген уңышы быйыл проблемаға әүерелде – хаҡтар кинәт төшә башланы.,The rich harvest of cereals this year turned into a problem  – the prices started to decrease dramatically.
1814,Исламда ғәйбәт таратыу — хәрәм ғәмәл.,"In Islam, spreading gossips is a taboo activity."
1815,Хаҡ мосолман.,A righteous Muslim.
1816,Өфө мосолман зыяраты.,The Muslim graveyard of Ufa.
1817,"Суфыйсылыҡ мосолман донъяһының рухиәтенә, ғилеменә, фәлсәфәһенә үә әҙәбиәтенә киң йоғонто яһаған.","Sufism has asserted a wide influence on the spirituality, science, philosophy and literature of the Muslim world."
1818,Барыһы ла Хоҙайҙың иркендә.,Everything is in Gods control.
1819,Әҙәм балаһы төҙөгән ҡаланы һәм манараны күрер өсөн Хоҙай аҫҡа төштө.,"In order to see the city and the tower that the cildren of men were building, God went down.|q=Genesis 11:5."
1820,Балалар — Хоҙай тарафынан бирелгән бәхет.,Children are a blessing given by God.
1821,Һаран хужабикә.,A frugal housewife.
1822,Һәүәҫкәр йырсы.,An amateur singer.
1823,Һәүәҫкәр йырсы.,An amateur singer.
1824,Башҡортостан Республикаһы мәҙәниәт министры итеп билдәле йырсы Асҡар Абдразаҡов тәғәйенләнде.,The renowned singer Askar Abdrazakov is appointed Minister of culture of the Republic of Bashkortostan.
1825,"Сәсе тоҡор алынған, ҙур күҙлек — йырсының бөгөнгө сәхнә йөҙө шундай.","Her hair is cut short, large glasses — such is the singers stage image today."
1826,Һиндтарҙың тормошо кинола ғына матурмы?,Is the Indians life beautiful in films only?
1827,"Урта быуаттарҙа башҡорт әҙәбиәтенә ғәрәп, фарсы, һинд, һуңыраҡ төрөк әҙәбиәтенән күп кенә сюжеттар үтеп инә.","In the Middle Ages, many plots from Arab, Persian, Indian, later Turkish literature penetrate the Bashkir literature."
1828,"Шаршау асылмаҫ элек сәхнәгә Актёр сыға, ҡулында телефон.","Before the curtain opens, the Actor goes on stage, (with) a telephone in his hand."
1829,Биш шаршауҙа тарихи драма.,A historical drama in five acts.
1830,“Янғантау” шифаханаһы — республика милке.,The sanatorium of Yangantaw is the property of the Republic (Bashkortostan).
1831,"Шифаханаға бөгөн юғары белемле йәш алмаш, һөнәрле белгестәр кәрәк.","The sanatorium nowadays needs qualified professionals with higher education, young replacement (for retiring doctors)."
1832,"Һалып бирелгән ризыҡты ҡалдырырға ярамай, яҙыҡ була, хужаны ихтирам итмәү һанала.","One should not leave (any of the) served food - (this is) a sin, is considered disrespect for the host."
1833,Башҡортостанда талпандар уянған: өс тешләү осрағы теркәлгән.,Ticks have woken up in Bashkortostan: three cases of biting were recorded.
1834,Мәргәндең һаҙағында ике бөртөк кенə уҡ ҡалған ти.,"In the sharp-shooters quiver, there remained only two arrows."
1838,Өфөләр һынатманы — ҡунаҡтарҙың ҡапҡаһына туп тәүге тапҡыр туғыҙынсы минутта уҡ эләкте.,"The Ufa team did not give way: already at the ninth minute, the football landed for the first time in the visiting teams gate."
1839,Уҡытыусының ғүмере мәктәптә үтә.,The teachers life passes in the school.
1840,Уҡытыусы апай мине таҡтаға мәсьәлә сисергә сығарҙы.|tr=Uqïtïwsï apay mine taqtağa mäsälä sisergä sïğarðï.,The teacher (mistress) called me to the board to solve a problem.
1841,"Беҙ, уҡытыусылар, йыш ҡына уҡыусыларыбыҙға: “Көндәлек — һеҙҙең йөҙөгөҙ”, тип әйтергә яратабыҙ.","We, teachers, often like to tell our students: ""a students report card is his/her face""."
1842,"Уҡытыусы баланың һәр фекерен ихтирам итеп, уны тыңларға, йүнәлеш бирергә һәм үҫтерергә тейеш.","The teacher must respect the childs every thought, listen to it, give (it) a direction and develop it."
1843,Гәзит өсөн мәҡәлә яҙғанда мин ғәҙәттә хәл-ваҡиғаға уҡыусы күҙлегенән бағам.,"When I write an article for a newspaper, I usually look at events from the readers point of view."
1844,"Ысынлап та, классик булып танылған яҙыусыларҙың көндәлектәре генә киң уҡыусы өсөн баҫылып сыға.","Indeed, only the diaries of writers who are considered classical, get published for the general reader."
1845,"Беҙ, уҡытыусылар, йыш ҡына уҡыусыларыбыҙға: “Көндәлек — һеҙҙең йөҙөгөҙ”, тип әйтергә яратабыҙ.","We, teachers, often like to say to our students: ""a students report card is his/her face""."
1846,Тәүлегенә кәмендә ете сәғәт йоҡлау кәрәк.,One should sleep at least seven hours a day.
1847,Киске табынға кәмендә өс төрлө ризыҡ бешерелә.,"For the dinner, at least three types ofmeals get cooked."
1848,Ниндәй ҙә булһа ҡатнашыусыны хаким итеп һайлар өсөн бөтәһе ундан да кәм түгел тауыш бирелергә тейеш.,"To elect any participant an administrator, a total of no less than ten votes must be cast."
1849,Ташбаҡа ҡабығы.,Turtle shell.
1850,Елкәнле кәмә.,Sail boat.
1851,Кәмә ҡамышҡа терәлеп туҡтаны.,The boat got caught in the cattail and stopped.
1852,"Ысынлап та, Туфан һыуы тартылғас, Нух кәмәһен ҡайҙа килтереп терәй икән?","As a matter of fact, where did Noah land his boat (=ark) when the Deluge waters subsided?"
1853,"Бер саҡ Нух, шарап эсеп иҫереп, сатыры эсендә шәрә килеш ята ине.","One day Noah, drunken after drinking wine,  lay naked inside his tent.|q=Genesis 9:21."
